recipient,amount
D65WGLNrFZ5mBGZuL72rxqeHWP58yhXneFPUGz5mJ4ox,59113521893654
BjuD62v9RysrburpKb65UKeaAWRSFyi7pFLLxdE3dPv,181214239738032
CpdzCVzaR9gjFymmEVE8xHboJFHaDnimRZ448cMBs6Rn,154470445631883
2XTfaBNteEo1nrDhqmkiBGQ863cxgDdEuZ1iGvCunXiv,80755547882158
AVZ4FNgAd17BXjRBRLLwAsMgnoL42bPFnLzPHvZe2vb9,40252358398387
2mNndJf6oLxnaFWwUw6spVGBfUFhDPA1cijtJphH5eCV,6678509709925
GosJ8GHbSUunTQPY5xEyjhY2Eg5a9qSuPhNC4Ctztr7y,59924826938649
EXCMwETx5Txcvxt6YYqxFmhSpQKH5BVjdat3NE5eJJ6a,60011290736414
HyV9NJ5oQXtZb4Apk6t7ZqyFQpJNFARRutcbP6NpdU69,8771170586803
E9ob2sxhQSTHFs2JGB7Hdgt1e46kJs8AWFhw4p1TFG2f,14836081746241
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,1187974226172282
HauaR1Jk3Wj6prdCkTcMMDYaB3NZCEDs3kKjYMfbEvRq,97717120
79rcn2h4jbwheNQYG7x2AHiDRN235EPx5AakcmDpzbnd,97717120
BhcJRCZj9y8igr9cubx1H6cRAwS9XNZizmDFhfRHrjy1,43186103152129
AbXdw2xawfc47R4fhrNEYQgrhQfZDnnnzfLYHYNurq52,58038264329670
G7TVjCCKeJogKngR7NwBJZhs1ipky3oP4stS9rEtHTMz,46026724166559
4my2b5ujEVRt2wPqyQL72nLCGpfbZGAHRiVa9zevNGY4,61054345497539
sce2qRjzVVeH8um2zrTfF7RhLCz2jYiiu8m3R6cskZc,50895843711852
simpRo1FrQYGa1moicfgnPDp6KyE38d4gYrZzhjXYJb,251145220590010
EZqPuc58tHGHH7qnyPWJgh6ddh7PUn3VuwXQrHnStqZ3,45893665078938
HwaKxcFVuVXnqNwN5FyZ8uLy3qAX1Tctpjgk8rexzi8C,38780137152401
8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,579820866080470
5DbifLTeWTZCPRBntnnrsGPVXoPWzomDJ1sTPiWMS12n,44821250547565
66REU6XVihDcY5gZqJdS7BAaC4j29V2Ve2oAb939jN9q,39034447138904
9B7iADCGXSfcseJ8F2qY6U6zHdsKo8XD4gaqHr4TLEdF,62847740407500
Cpdx8bAwWbF8T6e8Zfs1jiFHyTcqi2tuYogG1rXMUV9z,8961928648502
DFLDCKBPX7a3DnPyXYJUjSEffNYbSmTgWs7N8BkjnZ5g,39653695511706
5bVm9TWw6YNJAxtPitB1eduoFRnQAhWe2c6qD2maoHXa,1497717120
25ZARB8ByjxcnnQS6qF3FiQA3EpyJdgqHB5BjMwTPnC8,7827462347395
GXbz6pX6TKWv3XhQYpjJt2hg9Jjo1wZ2r7coV7AeK42f,55884767592547
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,3001549594616701
4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E,118031251178087
